stream_id,fraction,exact,estimate
1,0.1,993,979.136
1,0.2,1954,1928.37
1,0.3,2931,2917.29
1,0.5,4872,4549.51
1,0.7,6800,6759.6
1,1,9711,9951.74
2,0.1,993,947.88
2,0.2,1969,1943.48
2,0.3,2948,2939.06
2,0.5,4893,5044.63
2,0.7,6834,6679.91
2,1,9736,9526.28
3,0.1,994,990.087
3,0.2,1967,1913.81
3,0.3,2944,2986.63
3,0.5,4890,5094.98
3,0.7,6826,6450.27
3,1,9716,9218.89
4,0.1,993,1042.6
4,0.2,1982,1969.02
4,0.3,2950,2862.87
4,0.5,4897,4906.91
4,0.7,6829,6553.81
4,1,9724,9416.87
5,0.1,992,975.048
5,0.2,1969,1981.71
5,0.3,2934,2823.72
5,0.5,4860,4568.6
5,0.7,6807,6493.69
5,1,9705,9529.05
